piece_name,composer,key,measures_total,file_path,time_signature_raw,time_signature_flat,entity_type,start_bar,end_bar,span_bars,voices,voices_str,confidence,example,justification,piece_id
Suite-1,STEPOVYI,D major,23,tiny-dataset-first-iteration/STEPOVYI_Suite-1_9-31.musicxml,{'Фортепіано': ['4/4']},4/4,MOTIF,20,21,2,['V0'],V0,medium-high,<fn a f'n>4 <f c'n f'> <e c' e'> g'8 e' | <f f'> <e e'> <d d'> <c# c'#> <d d'>4 <f f'>,"Bars 20–21 in V0 restate the same rhythmic and contour pattern found in bars 1–2, with only minor pitch inflections, confirming it as a recurring motivic cell.",12
Suite-1,STEPOVYI,D major,23,tiny-dataset-first-iteration/STEPOVYI_Suite-1_9-31.musicxml,{'Фортепіано': ['4/4']},4/4,SEQUENCE,11,16,6,['V2'],V2,medium-high,<g4 f# <cC# c#> <fF# f#> | <f# f#> c# f# c# | c# c# d8 c# d bn | a#4 f# <c# c#> <f# f#> | <f# f'#> c'# f# c'# | c'# c'# d'8 c'# d' bn,"In V2, bars 11–16 present a repeated rhythmic pattern and similar stepwise figures (d–c#–d–bn and its higher counterpart d'–c'#–d'–bn) that are transposed and immediately restated, forming a clear sequential pattern.",12
Valse mélancolique,LYSENKO,B major,17,tiny-dataset-first-iteration/LYSENKO_Valse_mélancolique_48-64.musicxml,{'Фортепіано': ['3/4']},3/4,THEME,3,5,3,['V0'],V0,high,b8 a# c'# d'# e' f'# | g'n c'# r8 g'# c'# f'# | b' a'# g'# f'# e'# e'n,"Bars 3–5 in V0 form a continuous, prominent melodic span with consistent even‑eighth motion and a coherent contour. This material is clearly restated and developed later (e.g., bar 11 reuses the opening measure nearly literally), supporting its role as the main thematic idea of the excerpt.",16
Valse mélancolique,LYSENKO,B major,17,tiny-dataset-first-iteration/LYSENKO_Valse_mélancolique_48-64.musicxml,{'Фортепіано': ['3/4']},3/4,MOTIF,3,3,1,['V0'],V0,high,b8 a# c'# d'# e' f'#,"The six‑note figure at bar 3 in V0 (b–a#–c'–d'–e'–f') is a compact, clearly bounded unit with uniform eighth‑note rhythm. It reappears in bar 11 in the same voice with the same pitches and rhythm, confirming it as a recurring motivic cell.",16
Valse mélancolique,LYSENKO,B major,17,tiny-dataset-first-iteration/LYSENKO_Valse_mélancolique_48-64.musicxml,{'Фортепіано': ['3/4']},3/4,MOTIF,11,11,1,['V0'],V0,high,b8 a# c'# d'# e' f'#,"Bar 11 in V0 repeats the bar‑3 six‑note cell exactly (same pitch sequence and rhythm), demonstrating a literal motivic recurrence.",16
Mazurka,LYSENKO,F major,16,tiny-dataset-first-iteration/LYSENKO_Mazurka_16-32.musicxml,{'Фортепіано': ['3/4']},3/4,THEME,1,8,8,['V0'],V0,medium-high,d''4 <c' f'#>4. d'8 | d''4 trip{f'8} trip{g'} trip{f'} e' d' | c' e' d'4 a8 c' | b d' <a a'>4 <b g'> | c'8 e' d'4 a8 c' | b d' <a a'>4 <b g'>8 f' | e' d' e' f' g' r16 c' | b'2~ b'8 a',"V0 carries a continuous, prominent melodic line from bar 1 to 8 with a clear initial gesture (bar 1–2), an internally repeating idea (bars 3–6), and a registral and rhythmic relaxation in bars 7–8, forming a coherent primary melodic idea.",5
Mazurka,LYSENKO,F major,16,tiny-dataset-first-iteration/LYSENKO_Mazurka_16-32.musicxml,{'Фортепіано': ['3/4']},3/4,MOTIF,3,4,2,['V0'],V0,high,c' e' d'4 a8 c' | b d' <a a'>4 <b g'>,"The two-bar idea in V0 from bar 3 to 4, beginning with c'–e'–d' and continuing to a–c' then b–d' into a chord, is a compact, clearly profiled unit that functions as a recognizable melodic-motivic idea.",5
Mazurka,LYSENKO,F major,16,tiny-dataset-first-iteration/LYSENKO_Mazurka_16-32.musicxml,{'Фортепіано': ['3/4']},3/4,SEQUENCE,3,6,4,"['V0', 'V2']","V0,V2",medium-high,V0: c' e' d'4 a8 c' | b d' <a a'>4 <b g'> | c'8 e' d'4 a8 c' | b d' <a a'>4 <b g'>8 f' || V2: <c e g> <a c f#> d | gG <g c f> <g d f> | <g e g> <a c f#> d | gG <g c f> <g d f>,"Bars 3–4 and 5–6 repeat a closely corresponding two-bar pattern: in V0 the melodic contour and rhythm of the c'–e'–d'→a–c' then b–d'→chord idea recur with only slight extension, and in V2 the chordal pattern and rhythm are restated with the same layout, creating an immediate sequential repetition.",5
Mazurka,LYSENKO,F major,16,tiny-dataset-first-iteration/LYSENKO_Mazurka_16-32.musicxml,{'Фортепіано': ['3/4']},3/4,PHRASE,1,8,8,"['V0', 'V2']","V0,V2",medium-high,V0: d''4 <c' f'#>4. d'8 | d''4 trip{f'8} trip{g'} trip{f'} e' d' | c' e' d'4 a8 c' | b d' <a a'>4 <b g'> | c'8 e' d'4 a8 c' | b d' <a a'>4 <b g'>8 f' | e' d' e' f' g' r16 c' | b'2~ b'8 a' || V2: r4 <a d a>2 | r4 <b d g> r | <c e g> <a c f#> d | gG <g c f> <g d f> | <g e g> <a c f#> d | gG <g c f> <g d f> | <c e>8 d e f g r | r4 <c e>2,"Bars 1–8 form a continuous unit: V0 starts with an initiating gesture, develops through the sequential idea in bars 3–6, and relaxes rhythmically and registrally in bars 7–8, while V2 provides consistent harmonic support; the sustained b'–a and the held chord in bar 8 articulate a point of melodic and textural repose.",5
Prelude,STEPOVYI,A major,16,tiny-dataset-first-iteration/STEPOVYI_Prelude_1-16.musicxml,{'Piano': ['4/4']},4/4,THEME,1,4,4,['V0'],V0,high,c'#4 a e# a | g#4. d8 f#4 e | e f# a c'# | e' f'# e'2,"In V0, bars 1–4 form a continuous, prominent melodic span with coherent contour and rhythm, ending in a longer note value (e'2) that gives local closure. This upper line is clearly distinct from the more accompanimental figuration in V2 and the supporting tones in V1, making it the primary thematic idea of the excerpt.",11
Prelude,STEPOVYI,A major,16,tiny-dataset-first-iteration/STEPOVYI_Prelude_1-16.musicxml,{'Piano': ['4/4']},4/4,PHRASE,1,4,4,['V0'],V0,high,c'#4 a e# a | g#4. d8 f#4 e | e f# a c'# | e' f'# e'2,"The V0 melody from bars 1–4 forms a single, continuous unit that begins with an opening gesture, moves through bars 2–3, and comes to rest on the sustained e'2 in bar 4. The registral and rhythmic settling at the end support interpreting this as one complete phrase.",11
Menuetto,STEPOVYI,b minor,18,tiny-dataset-first-iteration/STEPOVYI_Menuetto_15-33.musicxml,{'Фортепіано': ['3/4']},3/4,THEME,3,6,4,['V0'],V0,high,d8 e e a f# d | e4. f#8 d4 | e8 b b c# d a | c# b b c# a4,"In V0, bars 3–6 form a continuous, rhythmically and melodically coherent idea. The material is clearly bounded by rests in bars 2 and 11 and returns later in closely parallel form, supporting its status as a main thematic unit.",6
Menuetto,STEPOVYI,b minor,18,tiny-dataset-first-iteration/STEPOVYI_Menuetto_15-33.musicxml,{'Фортепіано': ['3/4']},3/4,THEME,7,10,4,['V0'],V0,high,d'8 e' e' a' f'# d' | e'4. f'#8 d'4 | e'8 b b c'# d' a | b c'# c'# a d'4,"In V0, bars 7–10 closely parallel bars 3–6 in rhythm and melodic contour, transposed up an octave with only minor pitch adjustments. This makes 7–10 a clear restatement of the earlier theme.",6
Menuetto,STEPOVYI,b minor,18,tiny-dataset-first-iteration/STEPOVYI_Menuetto_15-33.musicxml,{'Фортепіано': ['3/4']},3/4,MOTIF,3,3,1,['V0'],V0,high,d8 e e a f# d,"The six-note figure in bar 3 of V0 is a compact, distinctive melodic cell whose intervals and rhythm recur in transposition in bar 7.",6
Menuetto,STEPOVYI,b minor,18,tiny-dataset-first-iteration/STEPOVYI_Menuetto_15-33.musicxml,{'Фортепіано': ['3/4']},3/4,MOTIF,7,7,1,['V0'],V0,high,d'8 e' e' a' f'# d',"The six-note figure in bar 7 of V0 closely matches the bar-3 figure in interval pattern and rhythm, transposed by an octave.",6
Menuetto,STEPOVYI,b minor,18,tiny-dataset-first-iteration/STEPOVYI_Menuetto_15-33.musicxml,{'Фортепіано': ['3/4']},3/4,SEQUENCE,3,10,8,['V0'],V0,high,d8 e e a f# d | e4. f#8 d4 | e8 b b c# d a | c# b b c# a4 | d'8 e' e' a' f'# d' | e'4. f'#8 d'4 | e'8 b b c'# d' a | b c'# c'# a d'4,"Bars 7–10 in V0 present an immediate octave transposition of the four-bar structure in 3–6, preserving the rhythmic pattern and internal melodic shapes, forming a clear transpositional sequence.",6
Menuetto,STEPOVYI,b minor,18,tiny-dataset-first-iteration/STEPOVYI_Menuetto_15-33.musicxml,{'Фортепіано': ['3/4']},3/4,PHRASE,3,10,8,['V0'],V0,medium-high,d8 e e a f# d | e4. f#8 d4 | e8 b b c# d a | c# b b c# a4 | d'8 e' e' a' f'# d' | e'4. f'#8 d'4 | e'8 b b c'# d' a | b c'# c'# a d'4,"In V0, bars 3–10 form a continuous melodic span made of two closely parallel four-bar segments, with rests before bar 3 and after bar 10 and a relatively more stable ending on d' in bar 10, supporting its interpretation as a single phrase.",6
Bez-tebe-Olesiu,LYSENKO,g minor,18,tiny-dataset-first-iteration/LYSENKO_Bez-tebe-Olesiu_25-43.musicxml,"{'Фортепіано': ['4/4', '2/4', '4/4']}",4/4,THEME,1,4,4,['V0'],V0,high,g4 g e'-8 d' g'4 | d'2 c'8 b- a4 | b- c'8 b-4 a d' | <b- d g>2. r4,"V0 bars 1–4 form a continuous, prominent melodic line in g minor that opens the excerpt and comes to a clear point of repose on a sustained tonic sonority in bar 4, with rhythmic and registral settling.",1
Bez-tebe-Olesiu,LYSENKO,g minor,18,tiny-dataset-first-iteration/LYSENKO_Bez-tebe-Olesiu_25-43.musicxml,"{'Фортепіано': ['4/4', '2/4', '4/4']}",4/4,MOTIF,1,2,2,['V3'],V3,medium-high,bB-8 d g b- c c d e- c | b- d g e- d c e-,"In V3 bars 1–2, a short pattern built from g-minor arpeggiation and adjacent scalar motion is stated and then restated with closely related pitches and rhythm, forming a recognizable accompanimental figure.",1
Bez-tebe-Olesiu,LYSENKO,g minor,18,tiny-dataset-first-iteration/LYSENKO_Bez-tebe-Olesiu_25-43.musicxml,"{'Фортепіано': ['4/4', '2/4', '4/4']}",4/4,MOTIF,9,10,2,['V3'],V3,medium-high,<e- g>8 b- c d <c e-> f <f g> a | <c e-> d <e- c> e-,"V3 in bars 9–10 presents a consistent eighth‑note pattern based on broken thirds that recurs with similar intervallic and rhythmic shape, functioning as a distinct accompanimental figure.",1
Bez-tebe-Olesiu,LYSENKO,g minor,18,tiny-dataset-first-iteration/LYSENKO_Bez-tebe-Olesiu_25-43.musicxml,"{'Фортепіано': ['4/4', '2/4', '4/4']}",4/4,PHRASE,1,4,4,"['V0', 'V1', 'V3']","V0,V1,V3",high,g4 g e'-8 d' g'4 | d'2 c'8 b- a4 | b- c'8 b-4 a d' | <b- d g>2. r4 || r4 d g <g c'> | g r g2~ | g4 g e- <c f#> | || bB-8 d g b- c c d e- c | b- d g e- d c e- | d d e- e- c c d dD | gG gG bB- d g4 r,"Bars 1–4 form a coherent opening phrase: the melodic idea in V0 unfolds continuously and arrives on a sustained tonic chord with rest in bar 4, while V1 and V3 provide supporting material that also come to rest.",1
Bez-tebe-Olesiu,LYSENKO,g minor,18,tiny-dataset-first-iteration/LYSENKO_Bez-tebe-Olesiu_25-43.musicxml,"{'Фортепіано': ['4/4', '2/4', '4/4']}",4/4,CADENCE,4,4,1,"['V0', 'V3']","V0,V3",medium-high,<b- d g>2. r4 || gG gG bB- d g4 r,"In bar 4, V0 and V3 sustain a tonic g‑minor sonority followed by rests, with melodic and rhythmic relaxation and registral settling, providing clear local closure to the phrase.",1
Bez-tebe-Olesiu,LYSENKO,g minor,18,tiny-dataset-first-iteration/LYSENKO_Bez-tebe-Olesiu_25-43.musicxml,"{'Фортепіано': ['4/4', '2/4', '4/4']}",4/4,SEQUENCE,13,14,2,['V3'],V3,medium-high,<gG g>4 <b- d g> <aA a> <a c f#> | <bB- b-> <g d b-> <c c> <g a e->,"In V3 bars 13–14, a quarter‑note chordal pattern in bar 13 is immediately restated in bar 14 at a different pitch level with preserved rhythm and closely related intervallic motion, forming a short harmonic sequence.",1
Polonaise-de-Concert,LYSENKO,E major,16,tiny-dataset-first-iteration/LYSENKO_Polonaise-de-Concert_47-63.musicxml,{'Фортепіано': ['3/4']},3/4,THEME,8,11,4,['V0'],V0,high,<g# e g#>8 <b g# b> <d# g# d'#>4~ <d# g# d'#>8 c'#16 d'# <c# g# c'#> <b b> | <c# g# c'#>8 <g# g#> <b g# b>4~ <b g# b>8 c'#16 b a g# | b8 a16 b a g# a4~ a8 g#16 f# | b8 a16 g# <a f#>4 <a c#>16 e d# f#,"Bars 8–11 in V0 form a continuous, prominent melodic line with consistent rhythm and contour, clearly standing out over the accompaniment and spanning a four‑bar unit typical of a theme.",9
Polonaise-de-Concert,LYSENKO,E major,16,tiny-dataset-first-iteration/LYSENKO_Polonaise-de-Concert_47-63.musicxml,{'Фортепіано': ['3/4']},3/4,MOTIF,4,5,2,['V0'],V0,high,trip{e16} trip{f#} trip{f##} g#8 trip{e16} trip{f#} trip{f##} g#8 trip{e16} trip{f#} trip{f##} g#8 | trip{<e e'>16} trip{<f# f'#>} trip{<f## f'##>} <g# g'#>8 trip{<e e'>16} trip{<f# f'#>} trip{<f## f'##>} <g# g'#>8 trip{<e e'>16} trip{<f# f'#>} trip{<f## f'##>} g'#8,"The recurring triplet figure e–f#–f## leading to g# is repeated several times with the same rhythm and intervals in bars 4–5, first in single notes then in doubled octaves, forming a clear short motivic cell.",9
Polonaise-de-Concert,LYSENKO,E major,16,tiny-dataset-first-iteration/LYSENKO_Polonaise-de-Concert_47-63.musicxml,{'Фортепіано': ['3/4']},3/4,PHRASE,8,11,4,['V0'],V0,medium-high,<g# e g#>8 <b g# b> <d# g# d'#>4~ <d# g# d'#>8 c'#16 d'# <c# g# c'#> <b b> | <c# g# c'#>8 <g# g#> <b g# b>4~ <b g# b>8 c'#16 b a g# | b8 a16 b a g# a4~ a8 g#16 f# | b8 a16 g# <a f#>4 <a c#>16 e d# f#,"The soprano in bars 8–11 outlines a single, continuous melodic span with a clear beginning in bar 8 and a point of relative repose and registral settling in bar 11, matching a four‑bar phrase unit.",9
PRELUDE,LYSENKO,E- major,16,tiny-dataset-first-iteration/LYSENKO_PRELUDE_16-32.musicxml,{'Piano': ['Unknown']},Unknown,THEME,2,5,4,['V0'],V0,high,[2] <b- g' b'->4. <e- e'->8 <g g'> <b- b'-> <d' f'# d''>8. <c' c''>16 | [3] <b- g' b'->8 <e'- e''-> <f'n f''> <e'- e''-> <g' g''> <d' d''> <e'- e''-> <c' c''> | [4] <b- g' b'->4. <e- e'->8 trip{<g g'>} trip{<a- a'->} trip{<b- b'->} <d' f'# d''>8. <c' c''>16 | [5] <b- g' b'->8 <e'- e''-> <f'n f''> <e'- e''-> <g' g''>8. <f' f''>16 trip{<f' f''>8} trip{<e'- e''->} trip{<c' c''>},"Bars 2–5 in V0 form a continuous, clearly profiled idea: each bar begins from the same <b- g' b'-> sonority, continues with similar E♭–F–G–C motion and repeated dotted-plus-eighth/tuplets rhythm, and is distinct from the surrounding material.",8
PRELUDE,LYSENKO,E- major,16,tiny-dataset-first-iteration/LYSENKO_PRELUDE_16-32.musicxml,{'Piano': ['Unknown']},Unknown,THEME,10,12,3,['V0'],V0,high,[10] <b- g' b'->4. <e- e'->8 <g g'> <b- b'-> <d' f'# d''>8. <c' c''>16 | [11] <b- g' b'->8 <e'- e''-> <f'n f''> <e'- e''-> <g' g''> <d' d''> <e'- e''-> <c' c''> | [12] <bn d' g' b'n>4. <d d'>8 <g g'> <b b'> <d' f'# d''>8. <c' c''>16,"Bars 10–12 in V0 closely match bars 2–4 in contour, chord types, and rhythm, again starting from the accented <b- g' b'-> sonority and following the same dotted plus flowing-eighth pattern, making this a clear thematic reprise.",8
PRELUDE,LYSENKO,E- major,16,tiny-dataset-first-iteration/LYSENKO_PRELUDE_16-32.musicxml,{'Piano': ['Unknown']},Unknown,MOTIF,2,3,2,['V0'],V0,medium-high,[2] <b- g' b'->4. <e- e'->8 <g g'> <b- b'-> | [3] <b- g' b'->8 <e'- e''-> <f'n f''> <e'- e''->,"Within the theme, the move from the accented <b- g' b'-> sonority to stepwise motion through E♭ and F with a dotted attack followed by shorter notes recurs in bars 2–3 and later variants, giving a short, recognizable cell.",8
PRELUDE,LYSENKO,E- major,16,tiny-dataset-first-iteration/LYSENKO_PRELUDE_16-32.musicxml,{'Piano': ['Unknown']},Unknown,SEQUENCE,2,4,3,['V2'],V2,high,[2] eE-16 bB- e- g b- g e- bB- gG bB- e- g e- f# an c | [3] e- g b- e- g e- b- g b- e- g8 r4 | [4] eE-16 bB- e- g b- g e- bB- gG bB- e- g e- f# an c,"In V2, bars 2 and 4 repeat the same arpeggiated 16th‑note pattern almost exactly in pitch and rhythm, with bar 3 presenting a shortened version of the same pattern, producing a clear sequential repetition of the accompanimental figure across bars 2–4.",8
PRELUDE,LYSENKO,E- major,16,tiny-dataset-first-iteration/LYSENKO_PRELUDE_16-32.musicxml,{'Piano': ['Unknown']},Unknown,PHRASE,2,5,4,"['V0', 'V2']","V0,V2",medium-high,[2] <b- g' b'->4. <e- e'->8 <g g'> <b- b'-> <d' f'# d''>8. <c' c''>16 | [3] <b- g' b'->8 <e'- e''-> <f'n f''> <e'- e''-> <g' g''> <d' d''> <e'- e''-> <c' c''> | [4] <b- g' b'->4. <e- e'->8 trip{<g g'>} trip{<a- a'->} trip{<b- b'->} <d' f'# d''>8. <c' c''>16 | [5] <b- g' b'->8 <e'- e''-> <f'n f''> <e'- e''-> <g' g''>8. <f' f''>16 trip{<f' f''>8} trip{<e'- e''->} trip{<c' c''>} || [2] eE-16 bB- e- g b- g e- bB- gG bB- e- g e- f# an c | [3] e- g b- e- g e- b- g b- e- g8 r4 | [4] eE-16 bB- e- g b- g e- bB- gG bB- e- g e- f# an c | [5] e- g b- e- b- g e- b- g b- e-8 r4,"Bars 2–5 form a continuous unit in which V0 maintains the same thematic idea over a consistent arpeggiated accompaniment in V2, with a build toward bar 5 and then a slight relaxation, making this span coherent and distinct from the surrounding material.",8
PRELUDE,LYSENKO,E- major,16,tiny-dataset-first-iteration/LYSENKO_PRELUDE_16-32.musicxml,{'Piano': ['Unknown']},Unknown,CADENCE,5,5,1,"['V0', 'V2']","V0,V2",medium-high,[5] <b- g' b'->8 <e'- e''-> <f'n f''> <e'- e''-> <g' g''>8. <f' f''>16 trip{<f' f''>8} trip{<e'- e''->} trip{<c' c''>} || [5] e- g b- e- b- g e- b- g b- e-8 r4,"At the end of bar 5, the melodic line in V0 descends through G′–F′–E♭′ and settles on C′/C″ while the accompaniment in V2 completes its arpeggio pattern and then rests, producing local registral and rhythmic relaxation that closes the phrase.",8
PRELUDE,LYSENKO,E- major,16,tiny-dataset-first-iteration/LYSENKO_PRELUDE_16-32.musicxml,{'Piano': ['Unknown']},Unknown,MOTIF,14,16,3,['V0'],V0,medium-high,[14] g'4. g'8 f'8. g'32 f' e'-8 d' | [15] c' e'- b-4 a-8 b- d'16 c'8 b-16 | [16] g'4. g'8 f'8. g'32 f' e'-8 d',"In V0, bars 14 and 16 present an almost identical figure built on repeated G′ descending through F′ and E♭′ to D′ with the same dotted‑plus‑32nd rhythm, bracketing the contrasting material in bar 15 and forming a short, clearly defined closing idea.",8
Valse,STEPOVYI,G major,16,tiny-dataset-first-iteration/STEPOVYI_Valse_25-41.musicxml,{'Фортепіано': ['3/4']},3/4,THEME,1,8,8,['V0'],V0,high,e'2 b'4 | a' f'# d' | d'8 b b4 f'# | <f# d'>2 r4 | d2 d'4 | c'n8 d' b4 a | g8 a f#4 e | d2.,"Bars 1–8 in V0 form a continuous, prominent melodic line in the upper register, clearly distinct from the accompaniment and ending in a long note on d in bar 8. The same melodic material returns later, confirming its role as the main theme.",15
Valse,STEPOVYI,G major,16,tiny-dataset-first-iteration/STEPOVYI_Valse_25-41.musicxml,{'Фортепіано': ['3/4']},3/4,THEME,13,16,4,['V0'],V0,high,d'2 d''4 | c''n8 d'' b'4 a' | g'8 a' f'#4 e' | d'2.,"Bars 13–16 in V0 restate the earlier thematic material in a higher register with closely corresponding contour and rhythms, forming a clear reprise of the initial theme.",15
Valse,STEPOVYI,G major,16,tiny-dataset-first-iteration/STEPOVYI_Valse_25-41.musicxml,{'Фортепіано': ['3/4']},3/4,MOTIF,6,7,2,['V0'],V0,medium-high,c'n8 d' b4 a | g8 a f#4 e,Bars 6–7 in V0 present a compact 2-bar idea built from similar 8th–8th–quarter–quarter figures and stepwise motion. This locally coherent cell is clearly articulated within the theme.,15
Valse,STEPOVYI,G major,16,tiny-dataset-first-iteration/STEPOVYI_Valse_25-41.musicxml,{'Фортепіано': ['3/4']},3/4,MOTIF,14,15,2,['V0'],V0,medium-high,c''n8 d'' b'4 a' | g'8 a' f'#4 e',"Bars 14–15 in V0 repeat the bar-6–7 idea an octave higher with very similar rhythm and contour, making it recognizably the same motivic cell in the later statement.",15
Valse,STEPOVYI,G major,16,tiny-dataset-first-iteration/STEPOVYI_Valse_25-41.musicxml,{'Фортепіано': ['3/4']},3/4,PHRASE,1,8,8,"['V0', 'V2']","V0,V2",medium-high,e'2 b'4 | a' f'# d' | d'8 b b4 f'# | <f# d'>2 r4 | d2 d'4 | c'n8 d' b4 a | g8 a f#4 e | d2. || r8 a e4 a | d a d | e a aA | d a d | gG b d | gG cn d | gG a g | gG f# d,"Bars 1–8 form a continuous melodic unit in V0 supported by a consistent bass in V2, leading to a lengthened note on d and a clear sense of local closure at bar 8.",15
Chanson,STEPOVYI,a minor,16,tiny-dataset-first-iteration/STEPOVYI_Chanson_1-16.musicxml,"{'Piano': ['4/4', '3/4']}",4/4,THEME,2,5,4,['V0'],V0,medium-high,a4~ a16 b c' d' e'4~ e'16 d' c' b | a4~ a16 g e g f#8 fn e4 | a~ a16 b c' d' e'8 g' f'16 e'~ e' d' c' b | a4~ a16 b c' b a8. g#16 b4,"In V0, bars 2–5 form a continuous, prominent melodic span characterized by the recurring a–b–c'–d'–e' ascent and related figures, with consistent rhythm and contour. This material returns in bars 10–11, supporting its status as the primary thematic idea.",2
Chanson,STEPOVYI,a minor,16,tiny-dataset-first-iteration/STEPOVYI_Chanson_1-16.musicxml,"{'Piano': ['4/4', '3/4']}",4/4,THEME,10,11,2,['V0'],V0,medium-high,a~ a16 b c' d' e'4~ e'16 d' c' b | a4~ a16 g e g f#8 fn e4,"V0 in bars 10–11 closely restates the melodic material of bars 2–3, with nearly identical rhythm and contour, functioning as a clear thematic reprise in abbreviated form.",2
Chanson,STEPOVYI,a minor,16,tiny-dataset-first-iteration/STEPOVYI_Chanson_1-16.musicxml,"{'Piano': ['4/4', '3/4']}",4/4,MOTIF,2,2,1,['V0'],V0,high,a4~ a16 b c' d' e'4~ e'16 d' c' b,"In bar 2 V0, the compact pattern built on the rising a–b–c'–d'–e' figure followed by a stepwise descent forms a clearly bounded, rhythmically distinctive cell that recurs in bar 10.",2
Chanson,STEPOVYI,a minor,16,tiny-dataset-first-iteration/STEPOVYI_Chanson_1-16.musicxml,"{'Piano': ['4/4', '3/4']}",4/4,MOTIF,10,10,1,['V0'],V0,high,a~ a16 b c' d' e'4~ e'16 d' c' b,"Bar 10 V0 presents the same motivic pattern as bar 2 in contour and rhythm, confirming it as a repeated motivic cell.",2
Chanson,STEPOVYI,a minor,16,tiny-dataset-first-iteration/STEPOVYI_Chanson_1-16.musicxml,"{'Piano': ['4/4', '3/4']}",4/4,PHRASE,2,5,4,['V0'],V0,medium-high,a4~ a16 b c' d' e'4~ e'16 d' c' b | a4~ a16 g e g f#8 fn e4 | a~ a16 b c' d' e'8 g' f'16 e'~ e' d' c' b | a4~ a16 b c' b a8. g#16 b4,"V0 bars 2–5 form a single, continuous melodic unit with a clear beginning in bar 2, ongoing development through bars 3–4, and a closing gesture with descending motion and longer values in bar 5.",2
